Date	Time	PT_ECO.TR01_WU311_B15.AA.R2251_ActValue[°C]	PT_ECO.TR01_WU312_B15.AA.R2251_ActValue[°C]	PT_ECO.TR01_WU314_B15.AA.R2251_ActValue[°C]	PT_ECO.TR01_WU321_B15.AA.R2251_ActValue[°C]	PT_ECO.TR02_WU322_B15.AA.R2251_ActValue[°C]	PT_ECO.TR02_WU323_B15.AA.R2251_ActValue[°C]
2-Jun-25	 03:04:44 am	32.91828918	32.9571991	37.56161118	36.69260788	35.08430862	33.35927582
2-Jun-25	 03:04:47 am	32.91828918	32.9571991	37.56161118	36.69260788	34.85084534	33.35927582
2-Jun-25	 03:04:48 am	32.91828918	32.82749939	37.56161118	36.69260788	34.85084534	33.35927582
2-Jun-25	 03:04:50 am	32.89234924	32.82749939	37.4578476	36.69260788	34.85084534	33.35927582
2-Jun-25	 03:04:51 am	32.89234924	32.82749939	37.4578476	36.69260788	34.85084534	33.42412567
2-Jun-25	 03:04:55 am	32.89234924	32.82749939	37.4578476	36.69260788	35.14915848	33.42412567
2-Jun-25	 03:04:56 am	32.89234924	33.04799271	37.4578476	37.19844437	35.14915848	33.42412567
2-Jun-25	 03:04:58 am	33.33333588	33.04799271	37.76913071	37.19844437	35.14915848	33.42412567
2-Jun-25	 03:04:59 am	33.33333588	33.04799271	37.76913071	37.19844437	35.14915848	33.15175247
2-Jun-25	 03:05:03 am	33.33333588	33.04799271	37.76913071	37.19844437	35.14915848	33.15175247
2-Jun-25	 03:05:04 am	33.33333588	33.04799271	37.76913071	37.13359451	35.14915848	33.15175247
2-Jun-25	 03:05:05 am	33.33333588	33.02204895	37.76913071	37.08171463	35.14915848	33.15175247
2-Jun-25	 03:05:06 am	33.33333588	33.02204895	37.76913071	37.08171463	35.14915848	33.15175247
2-Jun-25	 03:05:07 am	33.4111557	33.02204895	37.73022079	37.08171463	35.16212845	33.21660233
2-Jun-25	 03:05:09 am	33.4111557	33.02204895	37.73022079	37.08171463	35.16212845	33.24254227
2-Jun-25	 03:05:13 am	33.4111557	32.98313904	37.73022079	37.25032425	35.16212845	33.24254227
2-Jun-25	 03:05:15 am	33.30739594	32.98313904	37.65240097	37.25032425	35.17509842	33.24254227
2-Jun-25	 03:05:16 am	33.30739594	32.98313904	37.65240097	37.25032425	35.17509842	33.24254227
2-Jun-25	 03:05:21 am	33.30739594	33.46303558	37.65240097	36.96498108	35.17509842	33.24254227
2-Jun-25	 03:05:23 am	33.61867905	33.46303558	38.1841774	36.96498108	34.6822319	33.24254227
2-Jun-25	 03:05:24 am	33.61867905	33.46303558	38.1841774	36.96498108	34.6822319	33.54085541
2-Jun-25	 03:05:29 am	33.61867905	33.46303558	38.1841774	36.99092102	34.6822319	33.54085541
2-Jun-25	 03:05:30 am	33.61867905	33.45006561	38.1841774	37.01686096	34.6822319	33.54085541
2-Jun-25	 03:05:31 am	33.47600555	33.45006561	38.1841774	37.01686096	34.91569519	33.54085541
2-Jun-25	 03:05:32 am	33.45006561	33.45006561	38.04150772	37.01686096	34.92866516	33.30739594
2-Jun-25	 03:05:34 am	33.45006561	33.45006561	38.04150772	37.01686096	34.92866516	33.2295723
2-Jun-25	 03:05:37 am	33.45006561	33.45006561	38.04150772	37.01686096	34.92866516	33.2295723
2-Jun-25	 03:05:40 am	33.33333588	33.45006561	38.00259399	37.01686096	34.85084534	33.2295723
2-Jun-25	 03:05:41 am	33.33333588	33.45006561	38.00259399	37.01686096	34.85084534	33.37224579
2-Jun-25	 03:05:45 am	33.33333588	33.78728867	38.00259399	37.58755112	34.85084534	33.37224579
2-Jun-25	 03:05:48 am	33.70946884	33.78728867	38.21011734	37.58755112	35.04539871	33.37224579
2-Jun-25	 03:05:49 am	33.70946884	33.78728867	38.21011734	37.58755112	35.04539871	33.16472244
2-Jun-25	 03:05:53 am	33.70946884	33.78728867	38.21011734	37.49675751	35.04539871	33.16472244
2-Jun-25	 03:05:56 am	33.67055893	33.78728867	38.06744766	37.56161118	35.04539871	33.16472244
2-Jun-25	 03:05:57 am	33.6835289	33.83917236	38.00259399	37.56161118	35.05836868	33.20363235
2-Jun-25	 03:05:58 am	33.6835289	33.83917236	38.00259399	37.56161118	35.05836868	33.11284256
2-Jun-25	 03:06:04 am	33.6835289	33.83917236	37.9118042	37.56161118	35.05836868	33.11284256
2-Jun-25	 03:06:05 am	33.54085541	33.81323242	37.9118042	37.56161118	34.86381531	33.07393265
2-Jun-25	 03:06:12 am	33.54085541	33.81323242	38.39170074	38.13229752	34.86381531	33.07393265
2-Jun-25	 03:06:13 am	33.74837875	34.09857559	38.39170074	38.13229752	35.21400833	33.37224579
2-Jun-25	 03:06:20 am	33.74837875	34.09857559	38.39170074	38.13229752	35.21400833	33.37224579
2-Jun-25	 03:06:21 am	33.74837875	34.04669571	38.39170074	38.11932755	35.12321854	33.35927582
2-Jun-25	 03:06:22 am	33.78728867	34.15045547	38.31388092	38.11932755	35.03242493	33.35927582
2-Jun-25	 03:06:23 am	33.78728867	34.15045547	38.31388092	38.11932755	35.03242493	33.37224579
2-Jun-25	 03:06:29 am	33.78728867	34.15045547	38.31388092	38.00259399	35.03242493	33.37224579
2-Jun-25	 03:06:30 am	33.78728867	34.15045547	38.31388092	38.00259399	35.03242493	33.37224579
2-Jun-25	 03:06:31 am	33.78728867	34.15045547	38.31388092	38.00259399	35.03242493	33.37224579
2-Jun-25	 03:06:37 am	33.78728867	34.99351501	38.31388092	38.27496719	35.71984482	33.37224579
2-Jun-25	 03:06:38 am	34.66926193	34.99351501	38.75486374	38.27496719	35.71984482	33.37224579
2-Jun-25	 03:06:39 am	34.66926193	34.99351501	38.75486374	38.27496719	35.71984482	33.04799271
2-Jun-25	 03:06:45 am	34.66926193	34.99351501	38.75486374	38.22308731	35.71984482	33.04799271
2-Jun-25	 03:06:46 am	34.66926193	34.99351501	38.57328415	38.27496719	35.71984482	33.04799271
2-Jun-25	 03:06:47 am	34.69520187	34.9546051	38.638134	38.27496719	35.73281479	33.32036591
2-Jun-25	 03:06:49 am	34.69520187	34.9546051	38.638134	38.27496719	35.73281479	33.33333588
2-Jun-25	 03:06:54 am	34.69520187	34.9546051	38.638134	38.27496719	35.65499496	33.33333588
2-Jun-25	 03:06:55 am	34.69520187	34.9546051	38.83268738	38.27496719	35.65499496	33.33333588
2-Jun-25	 03:06:57 am	34.69520187	34.9546051	38.83268738	38.27496719	35.65499496	33.16472244
2-Jun-25	 03:07:02 am	34.69520187	34.9546051	38.83268738	38.66407394	35.88845825	33.16472244
2-Jun-25	 03:07:03 am	36.29053497	36.48508453	38.52140045	38.66407394	35.88845825	33.16472244
2-Jun-25	 03:07:05 am	36.29053497	36.48508453	38.52140045	38.66407394	35.88845825	33.43709564
2-Jun-25	 03:07:10 am	36.29053497	36.48508453	38.52140045	38.66407394	35.88845825	33.43709564
2-Jun-25	 03:07:11 am	36.29053497	36.42023468	38.638134	38.62516403	35.88845825	33.43709564
2-Jun-25	 03:07:12 am	36.32944489	36.45914459	38.638134	38.62516403	35.99221802	33.43709564
2-Jun-25	 03:07:13 am	36.32944489	36.45914459	38.67704391	38.62516403	35.99221802	33.43709564
2-Jun-25	 03:07:15 am	36.32944489	36.45914459	38.67704391	38.62516403	35.99221802	33.45006561
2-Jun-25	 03:07:18 am	36.32944489	36.45914459	38.67704391	38.49546051	35.99221802	33.45006561
